DATA_ID,STUDY_ID,AI_NAME,AI_50,AI_50_TYPE,FORM_NAME,FORM_50,CONTROL_GROUP,TEST_GROUP,MULTIPLE_MEASUREMENT,MULTIPLE_TYPE,SPECIES_NAME_BINOMIAL,SPECIES_NAME_COMMON,EXPOSURE_DURATION_HOURS,PESTICIDE_CLASS,EXPOSURE_ROUTE,ACUTE_CHRONIC_TOXICITY,FORMULATION_TYPE,FORMULATION_EXPRESSED_IN_AI_CONC,FORMULATION_VALUE_ADJUSTED,YEAR_PUBLISHED,NOTES
12,1437,Trifluralin,0.088,LC50,Treflan,0.205,1437_ai_b,1437_form_b,1437_2,1,Oncorhynchus mykiss,Rainbow trout,96,Herbicide,NA,Acute,Emusifiable Concentrate,UNSURE,NA,NA,NA
13,1437,Trifluralin,0.245,EC50,Treflan,0.299,1437_ai_c,1437_form_c,1437_3,1,Daphnia magna,Water flea,48,Herbicide,NA,Acute,Emusifiable Concentrate,UNSURE,NA,NA,NA
14,1437,Trifluralin,0.0122,EC50,Treflan,0.178,1437_ai_d,1437_form_d,1437_4,1,Selenastrum capricornutum,NA,96,Herbicide,NA,Chronic,Emusifiable Concentrate,UNSURE,NA,NA,NA
15,1437,Trifluralin,>100,LD50,Treflan,>80,1437_ai_e,1437_form_e,1437_5,1,Apis mellifera,Honeybee,NA,Herbicide,Oral,Acute,Emusifiable Concentrate,YES,NA,NA,NA
16,1437,Trifluralin,>100,LD50,Treflan,>100,1437_ai_f,1437_form_f,1437_6,1,Apis mellifera,Honeybee,NA,Herbicide,Contact,Acute,Emusifiable Concentrate,YES,NA,NA,NA
17,1437,Trifluralin,>500,LC50,Treflan,>240,1437_ai_g,1437_form_g,1437_7,1,NA,Earthworm,NA,Herbicide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
18,1438,Tolylfluanid,>197,LD50,Euparen M WG 50,>222,1438_ai_a,1438_form_a,1438_1,1,Apis mellifera,Honeybee,NA,Fungicide,Oral,Acute,Water dispersible granule,YES,NA,NA,NA
19,1438,Tolylfluanid,>196,LD50,Euparen M WG 50,>200,1438_ai_b,1438_form_b,1438_2,1,Apis mellifera,Honeybee,NA,Fungicide,Contact,Acute,Water dispersible granule,YES,NA,NA,NA
20,1438,Tolylfluanid,>1000,LC50,Euparen M WG 50,>961,1438_ai_c,1438_form_c,1438_3,1,NA,Earthworm,NA,Fungicide,NA,Acute,Water dispersible granule,YES,NA,NA,NA
21,1445,Tolclofos-methyl,>5000,LD50,Rizolex 50 WP,>3777,1445_ai_a,1445_form_a,1445_1,1,Colinus virginianus,Bobwhite quail,NA,Fungicide,NA,Acute,Wettable Powder,YES,NA,NA,NA
22,1445,Tolclofos-methyl,48,EC50,Rizolex 50 WP,30,1445_ai_b,1445_form_b,1445_2,1,Daphnia magna,Water flea,48,Fungicide,NA,Acute,Wettable Powder,UNSURE,NA,NA,NA
23,1445,Tolclofos-methyl,0.69,LC50,Rizolex 50 WP,26,1445_ai_c,1445_form_c,1445_3,1,Oncorhynchus mykiss,Rainbow trout,96,Fungicide,NA,Acute,Wettable Powder,UNSURE,NA,NA,NA
24,1445,Tolclofos-methyl,0.78,EC50,Rizolex 50 WP,0.65,1445_ai_d,1445_form_d,1445_7,2,Scenedesmus subspicatus,NA,72,Fungicide,NA,Acute,Wettable Powder,UNSURE,NA,NA,NA
25,1445,Tolclofos-methyl,>1.1,EC50,Rizolex 50 WP,>1.7,1445_ai_d,1445_form_d,1445_4,1,Scenedesmus subspicatus,NA,72,Fungicide,NA,Acute,Wettable Powder,UNSURE,NA,NA,NA
